id,name,detail,unit,carbon_per,type_performance
1,"การใช้รถแทรกเตอร์สี่ล้อขนาด 15 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,10.0062,"Agricultural Machinery"
2,"การใช้รถแทรกเตอร์สี่ล้อขนาด 35 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,22.3072,"Agricultural Machinery"
3,"การใช้รถแทรกเตอร์สี่ล้อขนาด 45 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,28.5639,"Agricultural Machinery"
4,"การใช้รถแทรกเตอร์สี่ล้อขนาด 70 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,44.3889,"Agricultural Machinery"
5,"การใช้รถแทรกเตอร์สี่ล้อขนาด 80 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,50.8371,"Agricultural Machinery"
6,"การใช้รถแทรกเตอร์สี่ล้อขนาด 90 แรงม้า","สำหรับพื้นที่ราบ ในการปลูกข้าว ข้าวโพด มันสำปะหลัง และอ้อย",hr,56.9422,"Agricultural Machinery"
7,"การใช้รถแทรกเตอร์สองล้อ (รถไถเดินตาม)<18 แรงม้า ขับเคลื่อนด้วยน้ำมันดีเซล",คลอบคลุมการผลิตรถแทรกเตอร์และการนาไปใช้งานในการเกษตร,hr,5.9162,"Agricultural Machinery"
8,"การใช้รถแทรกเตอร์สองล้อ (รถไถเดินตาม)<18 แรงม้า ขับเคลื่อนด้วยน้ำมันเบนซิน",คลอบคลุมการผลิตรถแทรกเตอร์และการนาไปใช้งานในการเกษตร,hr,7.563,"Agricultural Machinery"
9,"การใช้ไถหัวหมูโดยแทรกเตอร์ขนาด 90 แรงม้า คิดรวมการใช้รถแทรกเตอร์แล้ว","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตจาน เหมาะสำหรับดิน ประเภทดินร่วน หรือดินเหนียวปนทราย",m2,0.0072,"Agricultural Machinery"
10,"การไถด้วยจานโดยแทรกเตอร์ขนาด 90 แรงม้า คิดรวมการใช้รถแทรกเตอร์แล้ว","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตจาน และการนาไปใช้ในการเกษตร",m2,0.0047,"Agricultural Machinery"
11,"การไถดินดานโดยแทรกเตอร์ขนาด 90 แรงม้า (คิดรวมการใช้รถแทรกเตอร์แล้ว)","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตจาน และการนำไปใช้ในการเกษตร",m2,0.0062,"Agricultural Machinery"
12,"การไถยกร่องโดยแทรกเตอร์ขนาด 90 แรงม้า คิดรวมการใช้รถแทรกเตอร์แล้ว","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตจาน และการนำไปใช้ในการเกษตร",m2,0.0043,"Agricultural Machinery"
13,"การพรวนจานโดยแทรกเตอร์ขนาด 90 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตอุปกรณ์ต่อพ่วง และการนำไปใช้ในการเกษตร",m2,0.0039,"Agricultural Machinery"
14,"การพรวนซี่สริงโดยแทรกเตอร์ขนาด 90 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตอุปกรณ์ต่อพ่วง และการนำไปใช้ในการเกษตร",m2,0.003,"Agricultural Machinery"
15,"การไถพรวนด้วยเหล็กแหลมโดยแทรกเตอร์ขนาด 90 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตจาน และการนำไปใช้ในการเกษตร",m2,0.0044,"Agricultural Machinery"
16,"การไถลูกกลิ้งโดยแทรกเตอร์ขนาด 90 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตอุปกรณ์ต่อพ่วง และการนำไปใช้ในการเกษตร",m2,0.0015,"Agricultural Machinery"
17,"การใช้เครื่องปลูกหัวมันสำปะหลังขนาด 90 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตอุปกรณ์ต่อพ่วง และการนำไปใช้ในการเกษตร",m2,0.0022,"Agricultural Machinery"
18,"การใช้เครื่องหว่านปุ๋ยเม็ดขนาด 35 แรงม้า","คลอบคลุมการผลิตรถแทรกเตอร์ การผลิตเครื่องหว่าน และการนำไปใช้ในการเกษตร",m2,0.0012,"Agricultural Machinery"
