rawmat_id,name_raw,detail,unit,carbon_per_kg,type_raw
1,"Acrylonitrile Butadiene Styrene (ABS)",โพรเพนที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ,kg,4.1597,petroleum
2,Polystyrene(GPPS),"ผลิตจาก Styrene และ Ethylbenzene",kg,3.2281,petroleum
3,"High Density Polyethylene (HDPE)","ผลิตจาก Ethylene โดยมี 1-Butene และ Propylene เป็น Comonomer",kg,6.7071,petroleum
4,"High Impact Polystyrene (HIPS) ","ผลิตจาก Styrene และ Polybutadiene rubber",kg,3.6843,petroleum
5,"Linear Low Density Polyethylene (LLDPE)","ผลิตจากกระบวนการที่เป็น Solution phase และ Gas phase",kg,2.1356,petroleum
6,"Low Density Polyethylene (LDPE)","ผลิตจากกระบวนการที่เป็น Solution phase และ Gas phase",kg,2.6258,petroleum
7,"Polypropylene (PP)","ผลิตจากกระบวนการที่เป็น Liquid phase และ Gas phase",kg,1.8814,petroleum
8,"Ployvinyl Chloride (PVC) ","ผลิตจากกระบวนการ Suspension และ Emulsion",kg,2.1331,petroleum
9,"P-xylene ","ผลิตจากกระบวนการ PAREX / ISOMAR",kg,0.9226,petroleum
10,"Styrene Monomer (SM)","ผลิตจากกระบวนการอัลคิลเลชัน ของเบนซีน และเอทีลีน",kg,2.3705,petroleum
11,"Styrene Acrylonitrile (SAN)","ผลิตจากกระบวนการอัลคิลเลชัน ของเบนซีน และเอทีลีน",kg,3.0008,petroleum
12,"Vinyl Chlodie Monomer (VCM)","ผลิตจากกระบวนการ Suspension และ Emulsion",kg,2.1793,petroleum
13,Benzene,"ผลิตจากกระบวนการ Toluene Hydrodealkylation",kg,1.3268,petroleum
14,"Caprolactam (CPL)","ผลิตจาก Cyclohexane, Ammonia และ Sulfur",kg,1.2916,petroleum
15,"Cyclohexane (CX)","ผลิตจาก Benzene และ Hydrogen",kg,1.4132,petroleum
16,Ethylene,"ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking",kg,1.9562,petroleum
17,"Mixed C4","ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking",kg,1.1114,petroleum
18,"Toluene ","ผลิตจาก Reformate",kg,0.9551,petroleum
