transpot_id,name,detail,unit,carbon_per
1,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งปกติ 0% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.2415
2,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งปกติ 50% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.3805
3,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งปกติ 75% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2706
4,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งปกติ 100% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2154
5,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งสมบุกสมบัน 0% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.3091
6,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งสมบุกสมบัน 50% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.4695
7,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งสมบุกสมบัน 75% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.3275
8,"รถตู้ 4 ล้อ ขนาดเล็ก วิ่งสมบุกสมบัน 100% Loading","น้ำหนักบรรทุกสูงสุด 1.5 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2556
9,"รถตู้ 4 ล้อ วิ่งปกติ 0% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.3345
10,"รถตู้ 4 ล้อ วิ่งปกติ 50% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.3401
11,"รถตู้ 4 ล้อ วิ่งปกติ 75% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2405
12,"รถตู้ 4 ล้อ วิ่งปกติ 100% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.1835
13,"รถตู้ 4 ล้อ วิ่งสมบุกสมบัน  0% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.4106
14,"รถตู้ 4 ล้อ วิ่งสมบุกสมบัน 50% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.3672
15,"รถตู้ 4 ล้อ วิ่งสมบุกสมบัน 75% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2551
16,"รถตู้ 4 ล้อ วิ่งสมบุกสมบัน 100 Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.1991
17,"รถกระบะขนาดเล็ก 4 ล้อ วิ่งปกติ 0% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.3131
18,"รถกระบะขนาดเล็ก 4 ล้อ วิ่งปกติ 50% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.2698
19,"รถกระบะขนาดเล็ก 4 ล้อ วิ่งปกติ 75% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.184
20,"รถกระบะขนาดเล็ก 4 ล้อ วิ่งปกติ 100% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",tkm,0.1411
21,"รถกระบะขนาดเล็ก 4 ล้อ วิ่งสมบุกสมบัน 0% Loading","น้ำหนักบรรทุกสูงสุด 7 ตัน ใช้น้ำมันดีเซลเป็นเชื้อเพลิง",km,0.375
